Date,Open,High,Low,Close,Volume
2014-01-31,24.79,24.83,23.936,24.178,38527978
2014-02-28,24.178,25.597,24.12,25.393,38827414
2014-03-31,25.782,25.84,24.956,25.383,35329485
2014-04-30,25.325,25.967,24.965,25.665,28362459
2014-05-31,25.461,25.724,25.257,25.295,31354089
2014-06-30,25.247,26.18,25.072,25.83,43781655
2014-07-31,25.752,25.782,24.586,24.606,46398983
2014-08-31,24.538,24.712,24.004,24.324,25837850
2014-09-30,24.149,24.178,22.506,22.565,26675367
2014-10-31,22.555,22.721,21.195,21.69,60679754
2014-11-30,21.622,21.739,19.795,19.844,39878842
2014-12-31,19.825,20.262,17.706,17.929,109984480
2015-01-31,17.754,17.861,16.365,16.909,52675764
2015-02-28,17.084,17.891,16.909,17.658,52890065
2015-03-31,17.56,17.608,16.239,16.589,39876847
2015-04-30,16.647,17.774,16.608,17.774,30258930
2015-05-31,17.677,18.153,16.812,17.211,36322938
2015-06-30,17.181,17.57,16.792,17.492,30822932
2015-07-31,17.356,17.434,15.276,15.286,49155068
2015-08-31,15.112,15.374,13.925,15.248,51364085
2015-09-30,15.053,15.14,14.48,14.723,32729361
2015-10-31,14.888,15.413,14.44,14.771,38361373
2015-11-30,14.674,15.004,13.654,13.79,37970328
2015-12-31,13.897,14.003,12.76,12.983,74821505
2016-01-31,13.041,13.129,11.37,12.419,53443338
2016-02-29,12.274,12.449,11.759,12.391,48732101
2016-03-31,12.381,13.343,12.288,12.915,55632467
2016-04-30,12.702,14.217,12.419,14.169,50608567
2016-05-31,14.111,14.47,13.411,14.295,61402138
2016-06-30,14.188,15.15,14.169,14.917,52208743
2016-07-31,14.927,15.112,13.702,13.877,42763376
2016-08-31,13.76,14.771,13.566,13.985,57662782
2016-09-30,13.897,14.616,13.78,14.587,36002441
2016-10-31,14.606,15.014,14.518,14.538,43159913
2016-11-30,14.742,14.917,13.867,14.781,73825497
2016-12-31,15.024,15.442,14.965,15.393,46238935
2017-01-31,15.519,15.627,15.053,15.306,90287260
2017-02-28,15.354,15.617,15.16,15.276,42959641
2017-03-31,15.364,15.403,14.286,14.781,54558937
2017-04-30,14.819,15.208,14.295,14.382,50623003
2017-05-31,14.392,14.781,13.838,14.179,41196187
2017-06-30,14.179,14.198,13.304,14.043,35359811
2017-07-31,14.101,14.625,13.751,14.616,27924185
2017-08-31,14.528,14.674,14.071,14.674,32213167
2017-09-30,14.635,15.238,14.587,14.965,28631442
2017-10-31,14.819,15.577,14.75,15.559,25053287
2017-11-30,15.655,16.083,15.51,15.704,61789066
2017-12-31,15.792,16.2,15.286,16.142,47708105
2018-01-31,16.209,16.802,16.171,16.618,101614453
2018-02-28,16.637,16.792,15.559,16.132,72368785
2018-03-31,16.054,16.541,15.947,16.501,53055023
2018-04-30,16.463,17.181,16.112,17.065,52177369
2018-05-31,16.977,17.949,16.89,17.522,54149413
2018-06-30,17.434,17.463,16.608,17.181,61462538
2018-07-31,17.045,17.143,16.151,16.764,58409017
2018-08-31,16.579,16.977,16.093,16.89,48962855
2018-09-30,16.909,17.517,16.501,17.463,29341692
2018-10-31,17.482,18.119,16.481,16.481,50976075
2018-11-30,16.559,16.608,14.718,14.859,55522735
2018-12-31,15.228,15.491,14.117,14.265,53386566
2019-01-31,14.098,15.486,14.093,15.279,60417642
2019-02-28,15.309,15.899,15.072,15.712,29807602
2019-03-31,15.702,15.929,15.319,15.653,19427358
2019-04-30,15.752,16.111,15.705,15.84,17316524
2019-05-31,15.821,15.86,14.885,14.895,17850063
2019-06-30,15.023,15.752,14.57,15.486,22945334
2019-07-31,15.643,15.84,15.077,15.309,19967785
2019-08-31,15.21,15.21,14.359,14.6,22851658
2019-09-30,14.442,15.702,14.413,14.807,20158559
2019-10-31,14.826,15.397,14.501,15.092,24238503
2019-11-30,15.181,15.545,15.023,15.072,20517468
2019-12-31,15.151,16.18,14.994,15.95,22486740
2020-01-31,15.97,16.3,14.5,14.58,34921418
2020-02-29,14.46,14.96,13.455,13.61,25863052
2020-03-31,13.73,14.12,10.41,11.25,57005268
2020-04-30,11.11,11.84,10.4558,10.9,29611054
2020-05-31,10.81,11.84,10.66,11.78,17219417
2020-06-30,11.73,12.52,11.715,12.31,21433525
2020-07-31,12.38,13.05,12.27,12.94,25317811
2020-08-31,13,13.6,12.97,13.54,23928740
2020-09-30,13.59,13.66,12.7,13.06,23044682
2020-10-31,12.98,13.47,12.48,12.65,22824694
2020-11-30,12.63,14.095,12.63,13.94,29221763
2020-12-31,13.98,14.74,13.82,14.7,42744718
2021-01-31,14.84,15.54,14.6,15.19,43160510
2021-02-28,15.41,17.23,15.26,16.73,60822896
2021-03-31,16.8,17.5,16.29,16.61,73922849
2021-04-30,16.82,18.15,16.4699,17.91,56034381
2021-05-31,18.08,18.9699,17.94,18.6,84933111
2021-06-30,18.96,19.3384,18.35,19.25,72681011
2021-07-31,19.58,19.61,18.175,19.5,60594196
2021-08-31,19.46,19.535,17.89,19.18,60182514
2021-09-30,19.01,20.36,18.96,20.18,53467721
2021-10-31,20.25,21.85,20.1699,21.35,82143735
2021-11-30,21.51,21.615,19.21,19.48,77324122
2021-12-31,19.75,21.09,19.201,20.78,77666217
2022-01-31,20.72,22.5,20.68,22.42,84867208
2022-02-28,22.35,24.73,22.31,23.87,105204478
2022-03-31,24.48,28.405,24.27,26.06,206424163
2022-04-30,26.1,28.745,25.94,27.53,99189542
2022-05-31,27.26,29.53,26.83,28.8,88201826
2022-06-30,29.06,30.635,26.58,26.64,96228980
2022-07-31,27,27.06,24.18,26.11,88537094
2022-08-31,25.45,27.04,24.61,25.72,83811301
2022-09-30,25.35,25.86,23.42,23.91,69642916
2022-10-31,24.45,26.24,24.27,25.12,50216809
2022-11-30,25.6,26.69,24.39,25.49,56472457
2022-12-31,25.7,25.78,23.74,24.65,66128119
2023-01-31,24.36,25.215,23.42,24.87,34987602
2023-02-28,24.68,24.7,23.32,23.76,28385895
2023-03-31,23.89,24.48,22.36,23.74,33927433
2023-04-30,24.17,24.59,23.21,23.56,22450194
2023-05-31,23.39,23.55,22.05,22.05,19244850
2023-06-30,22.16,23.6,22.16,22.7,20829718
2023-07-31,22.8,24.6858,22.55,24.68,20731038
2023-08-31,24.52,24.66,23.89,24.59,22759402
2023-09-30,24.84,25.63,24.75,24.96,18052795
2023-10-31,24.97,25.4,23.6921,24.51,35494913
2023-11-30,24.75,24.92,23.555,23.91,28366627
2023-12-31,23.95,24.2,22.01,22.04,36897213
2024-01-31,22.14,22.61,21.615,22.33,19307500
2024-02-29,22.32,22.4,21.7,21.99,24952481
2024-03-31,22.06,22.9999,21.99,22.97,25548098
2024-04-30,23.06,24.09,22.965,23.34,31837748
2024-05-31,23.22,23.95,22.915,23.11,20403567
2024-06-30,23.25,23.49,22.62,23.23,16563441
2024-07-31,23.38,23.895,21.945,22.58,24179779
2024-08-31,22.56,22.5904,21.51,22.11,18561707
2024-09-30,21.75,22.605,20.9,22.27,17870499
2024-10-31,22.18,23.6,22.0301,22.59,20671891
2024-11-30,22.67,22.93,21.775,22.14,13915051
2024-12-31,22.07,22.49,20.78,21.38,18875782
2025-01-31,21.56,22.69,21.46,21.97,16752107
2025-02-28,22.07,23.04,21.829,22,18518749
2025-03-31,22.0839,22.545,21.61,22.5,37926197
2025-04-30,22.54,22.6597,19.8443,20.57,45196476
2025-05-31,20.59,21.62,20.4851,20.88,19316186
2025-06-30,21.39,23.32,21.2082,21.81,25556314
2025-07-31,21.83,22.81,21.775,22.45,10227043
2025-08-31,22.435,22.45,21.59,21.86,5707528
